ym,local,bill,rsn,cnt,amt
﻿201810,15,3,2,4,20000
﻿201810,15,7,2,23,204000
﻿201810,15,7,6,20,482000
﻿201810,16,2,1,2,125000
﻿201810,16,2,2,1,150000
﻿201810,16,3,2,9,26000
﻿201810,16,7,2,4,40000
﻿201810,17,3,2,1,5000
﻿201810,18,1,2,1,35000
﻿201810,18,1,4,1,5000
﻿201810,18,2,4,1,20000
﻿201810,18,3,6,3,15000
﻿201810,18,4,6,1,1000
﻿201810,18,7,2,1,112000
﻿201810,19,2,6,1,30000
﻿201810,19,7,6,1,20000
﻿201810,20,7,6,3,13000
﻿201810,21,7,1,21,702000
﻿201810,21,7,2,34,746000
﻿201810,22,2,2,1,120000
﻿201810,23,3,2,1,5000
﻿201810,24,7,2,2,412000
﻿201810,29,1,5,1,65000
﻿201810,29,2,2,2,80000
﻿201810,29,3,4,3,15000
﻿201810,29,7,2,49,1200000
﻿201810,2C,6,1,1,5000
﻿201810,2D,2,2,1,20000
﻿201810,2J,2,2,1,25000
﻿201810,2J,7,2,12,339000
﻿201810,30,4,6,2,2000
﻿201810,38,1,1,3,55000
﻿201810,38,1,2,5,42000
﻿201810,38,1,6,1,11000
﻿201810,38,2,2,2,19000
﻿201810,38,3,4,5,25000
﻿201810,38,6,1,1,354000
﻿201810,38,7,2,2,302000
﻿201810,38,7,6,243,13100000
﻿201810,39,6,1,1,6000
﻿201810,39,6,6,1,8000
﻿201810,39,7,2,24,439000
﻿201810,3H,1,2,1,140000
﻿201810,3K,7,1,12,800000
﻿201810,3T,7,2,7,104000
﻿201810,41,7,1,2,42000
﻿201810,42,6,1,1,18000
﻿201810,43,7,4,1,250000
﻿201810,47,1,1,4,213000
﻿201810,47,1,2,27,1240000
﻿201810,47,1,4,1,10000
﻿201810,47,1,6,1,32000
﻿201810,47,2,2,9,206000
﻿201810,47,2,4,1,8000
﻿201810,47,2,6,2,24000
﻿201810,47,3,1,1,3000
﻿201810,47,3,2,4,17000
﻿201810,47,3,4,1,1000
﻿201810,47,4,4,3,3000
﻿201810,47,6,1,1,20000
﻿201810,47,7,1,14,460000
﻿201810,47,7,2,23,835000
﻿201810,47,7,6,29,1550000
﻿201810,48,4,4,1,1000
﻿201810,48,6,1,1,15000
﻿201810,48,7,1,2,21000
﻿201810,49,6,1,1,13000
﻿201810,49,6,6,1,47000
﻿201810,49,7,2,2,21000
﻿201810,49,7,4,2,2750000
﻿201810,4A,3,1,1,3000
﻿201810,4A,3,2,5,25000
﻿201810,4A,7,1,2,75000
﻿201810,4B,7,2,20,267000
﻿201810,4C,1,1,3,253000
﻿201810,4C,2,1,1,60000
﻿201810,4C,3,4,3,15000
﻿201810,4C,7,2,102,2720000
﻿201810,4D,1,2,1,20000
﻿201810,4D,2,1,2,31000
﻿201810,4D,2,2,2,63000
﻿201810,4D,2,4,1,30000
﻿201810,4D,7,1,2,131000
﻿201810,4D,7,2,44,1200000
﻿201810,4F,3,4,3,15000
﻿201810,4F,3,6,2,6000
﻿201810,4F,4,4,9,1000
﻿201810,4F,4,6,15,2000
﻿201810,4F,6,1,1,11000
﻿201810,4F,6,6,2,2630000
﻿201810,4F,7,4,1,27000
﻿201810,4F,7,6,26,261000
﻿201810,4G,1,6,1,15000
﻿201810,4G,4,4,5,1000
﻿201810,4G,6,1,1,2000
﻿201810,4J,7,2,23,1010000
﻿201810,4K,2,2,1,3000
﻿201810,4K,4,4,1,10000
﻿201810,4K,7,2,3,2700000
﻿201810,4L,3,2,4,12000
﻿201810,4L,6,6,1,1510000
﻿201810,4M,6,1,1,405000
﻿201810,4N,4,6,5,1000
﻿201810,4P,3,4,1,5000
﻿201810,4P,7,1,2,40000
﻿201810,4P,7,6,1,10000
﻿201810,4Q,7,4,1,70000
﻿201810,4R,1,3,1,30000
﻿201810,4R,2,2,1,11000
﻿201810,4R,7,2,2,169000
﻿201810,4S,1,2,2,35000
﻿201810,4S,2,1,1,30000
﻿201810,4S,2,2,7,442000
﻿201810,4S,4,4,4,13000
﻿201810,4S,7,1,5,400000
﻿201810,4S,7,2,77,6120000
﻿201810,4T,4,4,1,1000
﻿201810,4Y,3,2,1,3000
﻿201810,51,1,2,1,6000
﻿201810,51,3,1,2,10000
﻿201810,51,4,4,1,1000
﻿201810,51,7,1,21,1020000
﻿201810,51,7,2,5,238000
﻿201810,56,4,4,39,39000
﻿201810,56,7,1,81,1940000
﻿201810,56,7,2,64,1400000
﻿201810,56,7,4,2,56000
﻿201810,57,1,1,1,5000
﻿201810,57,2,2,1,8000
﻿201810,57,7,1,5,334000
﻿201810,57,7,2,7,577000
﻿201810,57,7,6,3,50000
﻿201810,58,1,2,1,80000
﻿201810,58,2,2,1,50000
﻿201810,58,7,2,8,1240000
﻿201810,59,1,2,1,8000
﻿201810,59,1,6,1,5000
﻿201810,59,7,4,2,42000
﻿201810,5E,1,2,1,40000
﻿201810,5P,7,1,1,100000
﻿201810,5R,7,2,6,358000
﻿201810,5U,7,4,2,132000
﻿201810,5X,7,2,2,390000
﻿201810,62,1,4,1,100000
﻿201810,62,6,1,1,1000000
﻿201810,62,6,2,1,566000
﻿201810,62,6,6,1,1130000
﻿201810,62,7,2,5,132000
﻿201810,62,7,4,1,20000
﻿201810,63,2,1,1,5000000
﻿201810,63,7,1,2,41000
﻿201810,63,7,2,2,33000
﻿201810,65,1,2,2,82000
﻿201810,65,2,2,1,250000
﻿201810,65,4,4,1,1000
﻿201810,65,7,1,4,150000
﻿201810,65,7,2,23,2000000
﻿201810,65,7,6,1,100000
﻿201810,67,1,1,5,379000
﻿201810,67,1,2,1,148000
﻿201810,67,6,1,1,2580000
﻿201810,67,7,2,8,491000
﻿201810,6D,7,2,16,320000
﻿201810,6N,1,1,1,20000
﻿201810,74,1,1,1,100000
﻿201810,74,1,2,2,86000
﻿201810,74,2,1,2,105000
﻿201810,74,2,2,2,65000
﻿201810,74,2,6,2,95000
﻿201810,74,3,1,3,11000
﻿201810,74,6,2,1,10000
﻿201810,74,6,6,1,9000
﻿201810,74,7,2,5,71000
﻿201810,74,7,4,1,29000
﻿201810,75,1,4,1,500000
﻿201810,76,7,2,41,1000000
﻿201810,7A,2,6,2,170000
﻿201810,7A,6,6,1,11000
﻿201810,7A,7,1,6,320000
﻿201810,7A,7,4,1,80000
﻿201810,7A,7,6,118,2340000
﻿201810,83,1,1,9,178000
﻿201810,83,2,1,7,20000
﻿201810,83,2,4,1,60000
﻿201810,90,1,2,1,50000
﻿201811,1,1,1,46,163000000
﻿201811,1,1,2,3,50200000
﻿201811,1,1,3,1,20000
﻿201811,1,1,4,2,59000
﻿201811,1,1,5,1,110000
﻿201811,1,1,6,3,459000
